feature,importance
bare_sparse_ratio,0.13659463895893512
avg_base_speed_kph,0.11472039711207634
built_surface_mean,0.08220398362233602
ndbi_mean,0.06612948543425781
day_of_year,0.038768898808416385
road_count,0.03758822649111759
elevation_max,0.02784397203175859
road_density_m_per_km2,0.024519963736669426
elevation_mean,0.01891167543480916
slope_mean,0.018125171984064204
built_surface_max,0.015709236742083153
elevation_std,0.015295882326291
slope_max,0.013468908300204063
zone_area_m2,0.013370046672671077
ndvi_mean,0.01324680022067759
elevation_min,0.008182114851309309
built_surface_nres_mean,0.006323102787082346
road_length_m,0.00620648580690375
builtup_landcover_ratio,0.00470203990641811
built_surface_sum,0.004690624716807079
avg_base_travel_time_sec,0.004397668598592674
low_elevation_score,0.0038143147216172625
valid_pixel_count,0.003162811175256142
humidity,0.003032437412284783
intersection_proxy_count,0.002761392205148305
grassland_ratio,0.00255100820133618
current_air_temperature,0.002541973682533394
month,0.00242118083418581
tree_cover_ratio,0.0020943288985585395
built_up_x_low_vegetation,0.0019948861296040566
wind_speed,0.00150253564952747
ndbi_x_low_ndvi,0.0014890717119949936
low_slope_score,0.0014164457164911105
slope_min,0.0014148794449307723
vegetation_ratio_lc,0.0008527921605464561
built_surface_nres_sum,0.0006783340802682947
built_up_high_flag,0.0004706471464146933
water_ratio,2.015686064338329e-05
population_mean,0.0
missing_pixel_ratio,0.0
population_density_proxy,0.0
primary_road_count,0.0
secondary_road_count,0.0
population_sum,0.0
zone_area_km2,0.0
unknown_road_count,0.0
service_road_count,0.0
residential_road_count,0.0
tertiary_road_count,0.0
low_vegetation_flag,0.0
ndvi_max,0.0
ndvi_min,0.0
vegetation_ratio,0.0
built_up_ratio,0.0
major_road_density,0.0
population_density,0.0
bare_land_ratio,0.0
built_up_ratio_lc,0.0
imperviousness_proxy,0.0
road_density,0.0
exposure_score,0.0
