feature,importance_mean,importance_std
bare_sparse_ratio,0.13659463895893512,0.002154948075935785
avg_base_speed_kph,0.11472039711207634,0.0034874974221827666
built_surface_mean,0.08220398362233602,0.001310581948945076
ndbi_mean,0.06612948543425781,0.0015563319630889554
day_of_year,0.038768898808416385,0.0006715649845311999
road_count,0.03758822649111759,0.00035587648052509625
elevation_max,0.02784397203175859,0.0006670756521392658
road_density_m_per_km2,0.024519963736669426,0.0002753832212585611
elevation_mean,0.01891167543480916,0.0005601601203517281
slope_mean,0.018125171984064204,0.0009003289499508602
built_surface_max,0.015709236742083153,0.0005468246994347362
elevation_std,0.015295882326291,0.00013560694184145902
slope_max,0.013468908300204063,0.00020009977148478596
zone_area_m2,0.013370046672671077,0.0006500029230159115
ndvi_mean,0.01324680022067759,0.00037408120108008
elevation_min,0.008182114851309309,0.00022591485327634776
built_surface_nres_mean,0.006323102787082346,0.0001179501587265824
road_length_m,0.00620648580690375,0.000111684493283369
builtup_landcover_ratio,0.00470203990641811,0.00023081390436096027
built_surface_sum,0.004690624716807079,0.00024413831993317652
avg_base_travel_time_sec,0.004397668598592674,0.000133676189136698
low_elevation_score,0.0038143147216172625,2.689064921929351e-05
valid_pixel_count,0.003162811175256142,7.456234735691233e-05
humidity,0.003032437412284783,6.446601776925822e-05
intersection_proxy_count,0.002761392205148305,8.825145316466041e-05
grassland_ratio,0.00255100820133618,0.0001944327818690051
current_air_temperature,0.002541973682533394,0.00013705266214506824
month,0.00242118083418581,0.000139823512709604
tree_cover_ratio,0.0020943288985585395,8.163334786984232e-05
built_up_x_low_vegetation,0.0019948861296040566,6.652737930270431e-05
wind_speed,0.00150253564952747,7.452404536904203e-05
ndbi_x_low_ndvi,0.0014890717119949936,7.842099818508432e-05
low_slope_score,0.0014164457164911105,7.136043682478805e-05
slope_min,0.0014148794449307723,0.00011913257413947664
vegetation_ratio_lc,0.0008527921605464561,5.8771132061120317e-05
built_surface_nres_sum,0.0006783340802682947,6.145955406041483e-05
built_up_high_flag,0.0004706471464146933,3.8894479839931776e-05
water_ratio,2.015686064338329e-05,6.0513948776607985e-06
population_mean,0.0,0.0
missing_pixel_ratio,0.0,0.0
population_density_proxy,0.0,0.0
primary_road_count,0.0,0.0
secondary_road_count,0.0,0.0
population_sum,0.0,0.0
zone_area_km2,0.0,0.0
unknown_road_count,0.0,0.0
service_road_count,0.0,0.0
residential_road_count,0.0,0.0
tertiary_road_count,0.0,0.0
low_vegetation_flag,0.0,0.0
ndvi_max,0.0,0.0
ndvi_min,0.0,0.0
vegetation_ratio,0.0,0.0
built_up_ratio,0.0,0.0
major_road_density,0.0,0.0
population_density,0.0,0.0
bare_land_ratio,0.0,0.0
built_up_ratio_lc,0.0,0.0
imperviousness_proxy,0.0,0.0
road_density,0.0,0.0
exposure_score,0.0,0.0
