zone_code,date,predicted_heat_risk_class,top_factor_1,top_factor_1_label,top_factor_1_value,top_factor_1_reason,top_factor_2,top_factor_2_label,top_factor_2_value,top_factor_2_reason,top_factor_3,top_factor_3_label,top_factor_3_value,top_factor_3_reason,explanation_text,honesty_note
NSR-GRID-001,2025-10-23,medium,road_density_m_per_km2,Paved Road Exposure,30529.424813364763,dense paved roads generate sensible heat,built_surface_mean,Built Environment Density,4113.756665050896,high built-up density traps thermal energy,tree_cover_ratio,Vegetation Canopy Shielding,0.0324353762174348,low vegetation canopy limits cooling potential,"This zone is estimated as medium heat risk because it combines dense paved roads generate sensible heat and high built-up density traps thermal energy. This is a satellite-based decision-support estimate, not an official public-health heat warning.",This heat-risk layer estimates relative urban heat exposure from satellite land-surface temperature and geospatial features. It is not an official public-health heat warning system.
NSR-GRID-002,2025-10-23,medium,road_density_m_per_km2,Paved Road Exposure,28226.998476878285,dense paved roads generate sensible heat,built_surface_mean,Built Environment Density,3967.219512195121,high built-up density traps thermal energy,tree_cover_ratio,Vegetation Canopy Shielding,0.0585984910320744,tree cover provides shade and cooling,"This zone is estimated as medium heat risk because it combines dense paved roads generate sensible heat and high built-up density traps thermal energy. This is a satellite-based decision-support estimate, not an official public-health heat warning.",This heat-risk layer estimates relative urban heat exposure from satellite land-surface temperature and geospatial features. It is not an official public-health heat warning system.
NSR-GRID-003,2025-10-23,low,road_density_m_per_km2,Paved Road Exposure,6788.615542432688,dense paved roads generate sensible heat,built_surface_mean,Built Environment Density,4228.885271317829,high built-up density traps thermal energy,tree_cover_ratio,Vegetation Canopy Shielding,0.0034916679218414,low vegetation canopy limits cooling potential,"This zone is estimated as low heat risk because it combines dense paved roads generate sensible heat and high built-up density traps thermal energy. This is a satellite-based decision-support estimate, not an official public-health heat warning.",This heat-risk layer estimates relative urban heat exposure from satellite land-surface temperature and geospatial features. It is not an official public-health heat warning system.
NSR-GRID-004,2025-10-23,low,road_density_m_per_km2,Paved Road Exposure,9502.88079281026,dense paved roads generate sensible heat,built_surface_mean,Built Environment Density,3238.604815864023,high built-up density traps thermal energy,tree_cover_ratio,Vegetation Canopy Shielding,0.0127169359664871,low vegetation canopy limits cooling potential,"This zone is estimated as low heat risk because it combines dense paved roads generate sensible heat and high built-up density traps thermal energy. This is a satellite-based decision-support estimate, not an official public-health heat warning.",This heat-risk layer estimates relative urban heat exposure from satellite land-surface temperature and geospatial features. It is not an official public-health heat warning system.
NSR-GRID-006,2025-10-23,medium,road_density_m_per_km2,Paved Road Exposure,26791.966826711978,dense paved roads generate sensible heat,built_surface_mean,Built Environment Density,4724.81881754609,high built-up density traps thermal energy,tree_cover_ratio,Vegetation Canopy Shielding,0.0147919876733435,low vegetation canopy limits cooling potential,"This zone is estimated as medium heat risk because it combines dense paved roads generate sensible heat and high built-up density traps thermal energy. This is a satellite-based decision-support estimate, not an official public-health heat warning.",This heat-risk layer estimates relative urban heat exposure from satellite land-surface temperature and geospatial features. It is not an official public-health heat warning system.
NSR-GRID-007,2025-10-23,medium,road_density_m_per_km2,Paved Road Exposure,23966.045303375013,dense paved roads generate sensible heat,built_surface_mean,Built Environment Density,4016.369224247562,high built-up density traps thermal energy,tree_cover_ratio,Vegetation Canopy Shielding,0.0252605818906914,low vegetation canopy limits cooling potential,"This zone is estimated as medium heat risk because it combines dense paved roads generate sensible heat and high built-up density traps thermal energy. This is a satellite-based decision-support estimate, not an official public-health heat warning.",This heat-risk layer estimates relative urban heat exposure from satellite land-surface temperature and geospatial features. It is not an official public-health heat warning system.
NSR-GRID-008,2025-10-23,medium,road_density_m_per_km2,Paved Road Exposure,30627.6917637822,dense paved roads generate sensible heat,built_surface_mean,Built Environment Density,4123.742263671047,high built-up density traps thermal energy,tree_cover_ratio,Vegetation Canopy Shielding,0.058134686848545,tree cover provides shade and cooling,"This zone is estimated as medium heat risk because it combines dense paved roads generate sensible heat and high built-up density traps thermal energy. This is a satellite-based decision-support estimate, not an official public-health heat warning.",This heat-risk layer estimates relative urban heat exposure from satellite land-surface temperature and geospatial features. It is not an official public-health heat warning system.
NSR-GRID-009,2025-10-23,medium,road_density_m_per_km2,Paved Road Exposure,30016.27896083941,dense paved roads generate sensible heat,built_surface_mean,Built Environment Density,4480.859050445105,high built-up density traps thermal energy,tree_cover_ratio,Vegetation Canopy Shielding,0.055356050859483,tree cover provides shade and cooling,"This zone is estimated as medium heat risk because it combines dense paved roads generate sensible heat and high built-up density traps thermal energy. This is a satellite-based decision-support estimate, not an official public-health heat warning.",This heat-risk layer estimates relative urban heat exposure from satellite land-surface temperature and geospatial features. It is not an official public-health heat warning system.
NSR-GRID-010,2025-10-23,medium,built_surface_mean,Built Environment Density,3743.505987104697,high built-up density traps thermal energy,road_density_m_per_km2,Paved Road Exposure,800.5516735599792,dense paved roads generate sensible heat,elevation_mean,Elevation & Topography,44.90100909607732,low elevation traps warm air masses,"This zone is estimated as medium heat risk because it combines high built-up density traps thermal energy and dense paved roads generate sensible heat. This is a satellite-based decision-support estimate, not an official public-health heat warning.",This heat-risk layer estimates relative urban heat exposure from satellite land-surface temperature and geospatial features. It is not an official public-health heat warning system.
NSR-GRID-011,2025-10-23,medium,road_density_m_per_km2,Paved Road Exposure,29491.870651113048,dense paved roads generate sensible heat,built_surface_mean,Built Environment Density,3686.910735826297,high built-up density traps thermal energy,tree_cover_ratio,Vegetation Canopy Shielding,0.0454308377141796,low vegetation canopy limits cooling potential,"This zone is estimated as medium heat risk because it combines dense paved roads generate sensible heat and high built-up density traps thermal energy. This is a satellite-based decision-support estimate, not an official public-health heat warning.",This heat-risk layer estimates relative urban heat exposure from satellite land-surface temperature and geospatial features. It is not an official public-health heat warning system.
NSR-GRID-012,2025-10-23,low,road_density_m_per_km2,Paved Road Exposure,4694.927318045326,dense paved roads generate sensible heat,built_surface_mean,Built Environment Density,3582.309468822171,high built-up density traps thermal energy,tree_cover_ratio,Vegetation Canopy Shielding,0.0,low vegetation canopy limits cooling potential,"This zone is estimated as low heat risk because it combines dense paved roads generate sensible heat and high built-up density traps thermal energy. This is a satellite-based decision-support estimate, not an official public-health heat warning.",This heat-risk layer estimates relative urban heat exposure from satellite land-surface temperature and geospatial features. It is not an official public-health heat warning system.
NSR-GRID-013,2025-10-23,low,built_surface_mean,Built Environment Density,3567.6044330775785,high built-up density traps thermal energy,tree_cover_ratio,Vegetation Canopy Shielding,0.0,low vegetation canopy limits cooling potential,elevation_mean,Elevation & Topography,86.1729712253475,low elevation traps warm air masses,"This zone is estimated as low heat risk because it combines high built-up density traps thermal energy and low vegetation canopy limits cooling potential. This is a satellite-based decision-support estimate, not an official public-health heat warning.",This heat-risk layer estimates relative urban heat exposure from satellite land-surface temperature and geospatial features. It is not an official public-health heat warning system.
NSR-GRID-014,2025-10-23,medium,built_surface_mean,Built Environment Density,1788.582278481013,high built-up density traps thermal energy,road_density_m_per_km2,Paved Road Exposure,900.0855064978016,dense paved roads generate sensible heat,tree_cover_ratio,Vegetation Canopy Shielding,0.0,low vegetation canopy limits cooling potential,"This zone is estimated as medium heat risk because it combines high built-up density traps thermal energy and dense paved roads generate sensible heat. This is a satellite-based decision-support estimate, not an official public-health heat warning.",This heat-risk layer estimates relative urban heat exposure from satellite land-surface temperature and geospatial features. It is not an official public-health heat warning system.
