feature,importance,rank
built_surface_mean,0.4954519029369621,1
rain_24h_mm,0.39689373325540006,2
rain_3h_mm,0.017732209788112355,3
rain_1h_mm,0.01725323563229309,4
wind_speed_10m,0.01518537426488662,5
elevation_max,0.01500735030287004,6
rain_6h_mm,0.010862211012123413,7
apparent_temperature,0.006404225023146526,8
temperature_2m,0.005401965786933572,9
slope_mean,0.003117212868909498,10
low_slope_score,0.0028224025555595345,11
elevation_std,0.001875045087096624,12
low_elevation_score,0.0018395623146774955,13
slope_max,0.0017987887329957387,14
elevation_mean,0.0016114863549217542,15
built_surface_sum,0.00126242498424725,16
relative_humidity_2m,0.0009282792183233454,17
built_surface_max,0.0008331509849281131,18
hour,0.0005348188525359799,19
elevation_min,0.0004957739379297689,20
builtup_landcover_ratio,0.00041406998353995725,21
avg_base_travel_time_sec,0.00034521117653386196,22
bare_sparse_ratio,0.0002701344241596599,23
avg_base_speed_kph,0.00024806560914183463,24
road_length_m,0.0002134462436899767,25
road_density_m_per_km2,0.00017813627566649732,26
grassland_ratio,0.0001757224691162828,27
tree_cover_ratio,0.00014375188760628018,28
intersection_proxy_count,0.00010965904854370428,29
road_count,0.00010308777261325024,30
unknown_road_count,9.42029203532374e-05,31
built_surface_nres_mean,8.996381411044967e-05,32
slope_min,8.538549516732927e-05,33
built_surface_nres_sum,7.971787529597864e-05,34
zone_area_m2,5.464939396283669e-05,35
zone_area_km2,5.261723349740954e-05,36
dominant_landcover_class,2.9757446566492653e-05,37
water_ratio,1.2670355820180132e-06,38
tertiary_road_count,0.0,39
primary_road_count,0.0,40
secondary_road_count,0.0,41
residential_road_count,0.0,42
service_road_count,0.0,43
population_sum,0.0,44
population_mean,0.0,45
population_density_proxy,0.0,46
gpm_precipitation_mean,0.0,47
gpm_precipitation_max,0.0,48
gpm_precipitation_sum,0.0,49
