feature,importance_mean,importance_std,rank
built_surface_mean,0.5096334598301261,0.006023782364109653,1
rain_24h_mm,0.44313858854507165,0.007992749885795077,2
rain_6h_mm,0.07344847113243765,0.0013135041335883087,3
elevation_mean,0.06467670891331323,0.000918436722568732,4
slope_mean,0.03344179206871115,0.0002327254041199173,5
rain_1h_mm,0.020033005974444868,0.00026792931295871025,6
antecedent_rain_proxy,0.003923293898362767,7.492125699168112e-05,7
low_slope_score,3.2442438550421096e-06,2.2767975168224844e-08,8
rain_3h_mm,4.199171673343235e-08,8.076813585125356e-10,9
built_surface_x_low_vegetation,7.688221984973135e-09,1.2085782990731696e-10,10
rain_3h_to_24h_ratio,6.7130777233378085e-09,1.9469648445381268e-10,11
temperature_2m,4.621133993983524e-09,1.5766581707754983e-10,12
apparent_temperature,3.409039643168891e-09,9.278447812673462e-11,13
rain_1h_to_24h_ratio,3.2929173091981547e-09,5.1472716105697153e-11,14
elevation_min,1.829990529481999e-09,7.2400654989090704e-12,15
rain_intensity_level,9.928667517774177e-10,2.7602843172860947e-11,16
rain_6h_to_24h_ratio,8.759348061696907e-10,2.990419738128893e-11,17
slope_max,4.975598451769277e-10,4.813501065425272e-12,18
elevation_std,2.963269999748756e-10,5.539887578159356e-12,19
road_length_m,2.5982464328203986e-10,1.5607661496329457e-12,20
relative_humidity_2m,2.545960849550018e-10,4.687350644756446e-12,21
bare_sparse_ratio,2.2927052848823828e-10,9.203247456326704e-12,22
slope_min,2.212603433804361e-10,5.926790612290158e-12,23
rainfall_concentration_score,1.7147587053993144e-10,3.470008264124753e-12,24
low_slope_flag,1.5077853780335696e-10,2.6009510463109404e-12,25
wind_speed_10m,1.3245404772987968e-10,3.466308091537092e-12,26
rush_hour_flag,1.1459599935648157e-10,1.6469021353844397e-12,27
imperviousness_proxy,9.755970105847685e-11,4.930417200624682e-12,29
builtup_landcover_ratio,9.755970105847685e-11,4.930417200624682e-12,28
road_density_m_per_km2,9.73557530888532e-11,2.9619431209673556e-12,30
built_surface_sum,7.651505355236547e-11,6.644621812358995e-12,31
dominant_landcover_class,7.442431855982552e-11,5.349258692827175e-12,32
intersection_proxy_count,5.534350755453943e-11,9.267093368848313e-13,33
zone_area_m2,5.3796966881236585e-11,2.0363387026155247e-12,34
road_count,4.773718457566171e-11,1.0677328939365904e-12,35
unknown_road_count,4.7719828089043403e-11,1.0675587596932595e-12,36
elevation_max,3.548302392649324e-11,2.7459046458178965e-12,37
low_elevation_score,3.502931278376309e-11,3.3858469318857123e-12,38
built_surface_nres_mean,3.288591621242176e-11,1.902172854283494e-12,39
heavy_rain_flag,3.2172856971139176e-11,2.08478458877441e-12,40
day_of_year_cos,2.704766040769376e-11,1.2362278635108683e-12,41
hour_cos,2.4302559964439752e-11,1.008614800096807e-12,42
built_surface_nres_sum,2.206031653647263e-11,1.8171159229596168e-12,43
hour,1.700898681159894e-11,2.872111320807994e-13,44
low_elevation_flag,1.4046134625781784e-11,9.439352958764843e-13,45
rain_24h_x_low_elevation,8.055741259245982e-12,1.898382755195852e-13,46
avg_base_speed_kph,3.920826626332048e-12,4.748851370672643e-13,47
day_of_year_sin,3.536356392904357e-12,9.722588100358846e-13,48
road_density_high_flag,2.9591884498358922e-12,5.195577816813783e-13,49
hour_sin,2.8134901815709177e-12,3.156949619460831e-13,50
rain_x_impervious_proxy,1.2906712735608987e-12,3.58193729751746e-14,51
avg_base_travel_time_sec,1.0859461478200199e-12,7.469255385766001e-13,52
built_surface_max,1.0450159256455056e-12,8.731349775161079e-13,53
water_ratio,9.629334366915525e-13,2.370184681529781e-13,54
rain_24h_x_built_surface,6.796415282413667e-13,2.2709662551207094e-14,55
built_up_high_flag,4.273988570465311e-13,1.304002931763737e-13,56
rain_3h_x_built_surface,4.0693374595927406e-13,1.8743945736886656e-13,57
rain_24h_x_road_density,3.1163960301228144e-13,4.578975754211189e-14,58
vegetation_low_flag,2.2496819222321088e-13,1.0592545245827136e-13,59
grassland_ratio,5.97670061589876e-14,1.6941080165712122e-14,60
zone_area_km2,0.0,0.0,61
extreme_rain_flag,0.0,0.0,73
population_mean,0.0,0.0,68
population_sum,0.0,0.0,67
residential_road_count,0.0,0.0,65
primary_road_count,0.0,0.0,62
service_road_count,0.0,0.0,66
secondary_road_count,0.0,0.0,63
tertiary_road_count,0.0,0.0,64
gpm_precipitation_sum,0.0,0.0,72
gpm_precipitation_max,0.0,0.0,71
gpm_precipitation_mean,0.0,0.0,70
population_density_proxy,0.0,0.0,69
rain_24h_x_population,0.0,0.0,75
population_high_flag,0.0,0.0,74
exposure_x_hazard_proxy,0.0,0.0,76
tree_cover_ratio,-1.056932319443149e-13,3.104992843537248e-13,77
