zone_code,event_id,predicted_score,predicted_risk_class,top_factor_1,top_factor_1_value,top_factor_1_reason,top_factor_2,top_factor_2_value,top_factor_2_reason,top_factor_3,top_factor_3_value,top_factor_3_reason,explanation_text,honesty_note
NSR-GRID-001,evt_0551,0.8641137458384879,high,rain_6h_mm,28.7,Associated local environmental feature increases relative weather risk.,built_surface_mean,4113.756665050896,Dense built-up surfaces reduce natural ground absorption and infiltration.,rain_24h_mm,34.9,High 24-hour rainfall increases surface water accumulation risk.,"This zone is model-estimated as high risk. The primary risk drivers are: 1) rain_6h_mm (28.70) which associated local environmental feature increases relative weather risk, 2) built_surface_mean (4113.76) which dense built-up surfaces reduce natural ground absorption and infiltration, and 3) rain_24h_mm (34.90) which high 24-hour rainfall increases surface water accumulation risk.","The model predicts an engineered weather-impact risk score derived from real weather, satellite, road, and exposure features. It is not trained on verified official flood incident labels."
NSR-GRID-002,evt_0551,0.8291485726057137,high,rain_6h_mm,28.7,Associated local environmental feature increases relative weather risk.,rain_24h_mm,34.9,High 24-hour rainfall increases surface water accumulation risk.,built_surface_mean,3967.219512195121,Dense built-up surfaces reduce natural ground absorption and infiltration.,"This zone is model-estimated as high risk. The primary risk drivers are: 1) rain_6h_mm (28.70) which associated local environmental feature increases relative weather risk, 2) rain_24h_mm (34.90) which high 24-hour rainfall increases surface water accumulation risk, and 3) built_surface_mean (3967.22) which dense built-up surfaces reduce natural ground absorption and infiltration.","The model predicts an engineered weather-impact risk score derived from real weather, satellite, road, and exposure features. It is not trained on verified official flood incident labels."
NSR-GRID-003,evt_0551,0.8887044247769996,high,rain_6h_mm,28.7,Associated local environmental feature increases relative weather risk.,built_surface_mean,4228.885271317829,Dense built-up surfaces reduce natural ground absorption and infiltration.,rain_24h_mm,34.9,High 24-hour rainfall increases surface water accumulation risk.,"This zone is model-estimated as high risk. The primary risk drivers are: 1) rain_6h_mm (28.70) which associated local environmental feature increases relative weather risk, 2) built_surface_mean (4228.89) which dense built-up surfaces reduce natural ground absorption and infiltration, and 3) rain_24h_mm (34.90) which high 24-hour rainfall increases surface water accumulation risk.","The model predicts an engineered weather-impact risk score derived from real weather, satellite, road, and exposure features. It is not trained on verified official flood incident labels."
NSR-GRID-004,evt_0551,0.8361955616626875,high,rain_6h_mm,28.7,Associated local environmental feature increases relative weather risk.,rain_24h_mm,34.9,High 24-hour rainfall increases surface water accumulation risk.,built_surface_mean,3238.604815864023,Dense built-up surfaces reduce natural ground absorption and infiltration.,"This zone is model-estimated as high risk. The primary risk drivers are: 1) rain_6h_mm (28.70) which associated local environmental feature increases relative weather risk, 2) rain_24h_mm (34.90) which high 24-hour rainfall increases surface water accumulation risk, and 3) built_surface_mean (3238.60) which dense built-up surfaces reduce natural ground absorption and infiltration.","The model predicts an engineered weather-impact risk score derived from real weather, satellite, road, and exposure features. It is not trained on verified official flood incident labels."
NSR-GRID-005,evt_0551,0.9203437299959232,high,rain_6h_mm,28.7,Associated local environmental feature increases relative weather risk.,built_surface_mean,4321.0,Dense built-up surfaces reduce natural ground absorption and infiltration.,rain_24h_mm,34.9,High 24-hour rainfall increases surface water accumulation risk.,"This zone is model-estimated as high risk. The primary risk drivers are: 1) rain_6h_mm (28.70) which associated local environmental feature increases relative weather risk, 2) built_surface_mean (4321.00) which dense built-up surfaces reduce natural ground absorption and infiltration, and 3) rain_24h_mm (34.90) which high 24-hour rainfall increases surface water accumulation risk.","The model predicts an engineered weather-impact risk score derived from real weather, satellite, road, and exposure features. It is not trained on verified official flood incident labels."
NSR-GRID-006,evt_0551,0.9417943498467983,high,rain_6h_mm,28.7,Associated local environmental feature increases relative weather risk.,built_surface_mean,4724.81881754609,Dense built-up surfaces reduce natural ground absorption and infiltration.,rain_24h_mm,34.9,High 24-hour rainfall increases surface water accumulation risk.,"This zone is model-estimated as high risk. The primary risk drivers are: 1) rain_6h_mm (28.70) which associated local environmental feature increases relative weather risk, 2) built_surface_mean (4724.82) which dense built-up surfaces reduce natural ground absorption and infiltration, and 3) rain_24h_mm (34.90) which high 24-hour rainfall increases surface water accumulation risk.","The model predicts an engineered weather-impact risk score derived from real weather, satellite, road, and exposure features. It is not trained on verified official flood incident labels."
NSR-GRID-007,evt_0551,0.898668812542389,high,rain_6h_mm,28.7,Associated local environmental feature increases relative weather risk.,rain_24h_mm,34.9,High 24-hour rainfall increases surface water accumulation risk.,built_surface_mean,4016.369224247562,Dense built-up surfaces reduce natural ground absorption and infiltration.,"This zone is model-estimated as high risk. The primary risk drivers are: 1) rain_6h_mm (28.70) which associated local environmental feature increases relative weather risk, 2) rain_24h_mm (34.90) which high 24-hour rainfall increases surface water accumulation risk, and 3) built_surface_mean (4016.37) which dense built-up surfaces reduce natural ground absorption and infiltration.","The model predicts an engineered weather-impact risk score derived from real weather, satellite, road, and exposure features. It is not trained on verified official flood incident labels."
NSR-GRID-008,evt_0551,0.8420188817990097,high,rain_6h_mm,28.7,Associated local environmental feature increases relative weather risk.,built_surface_mean,4123.742263671047,Dense built-up surfaces reduce natural ground absorption and infiltration.,rain_24h_mm,34.9,High 24-hour rainfall increases surface water accumulation risk.,"This zone is model-estimated as high risk. The primary risk drivers are: 1) rain_6h_mm (28.70) which associated local environmental feature increases relative weather risk, 2) built_surface_mean (4123.74) which dense built-up surfaces reduce natural ground absorption and infiltration, and 3) rain_24h_mm (34.90) which high 24-hour rainfall increases surface water accumulation risk.","The model predicts an engineered weather-impact risk score derived from real weather, satellite, road, and exposure features. It is not trained on verified official flood incident labels."
NSR-GRID-009,evt_0551,0.8234218131933051,high,rain_6h_mm,28.7,Associated local environmental feature increases relative weather risk.,built_surface_mean,4480.859050445105,Dense built-up surfaces reduce natural ground absorption and infiltration.,slope_mean,9.31520645624471,Associated local environmental feature increases relative weather risk.,"This zone is model-estimated as high risk. The primary risk drivers are: 1) rain_6h_mm (28.70) which associated local environmental feature increases relative weather risk, 2) built_surface_mean (4480.86) which dense built-up surfaces reduce natural ground absorption and infiltration, and 3) slope_mean (9.32) which associated local environmental feature increases relative weather risk.","The model predicts an engineered weather-impact risk score derived from real weather, satellite, road, and exposure features. It is not trained on verified official flood incident labels."
NSR-GRID-010,evt_0551,0.8720565223203056,high,rain_6h_mm,28.7,Associated local environmental feature increases relative weather risk.,rain_24h_mm,34.9,High 24-hour rainfall increases surface water accumulation risk.,built_surface_mean,3743.505987104697,Dense built-up surfaces reduce natural ground absorption and infiltration.,"This zone is model-estimated as high risk. The primary risk drivers are: 1) rain_6h_mm (28.70) which associated local environmental feature increases relative weather risk, 2) rain_24h_mm (34.90) which high 24-hour rainfall increases surface water accumulation risk, and 3) built_surface_mean (3743.51) which dense built-up surfaces reduce natural ground absorption and infiltration.","The model predicts an engineered weather-impact risk score derived from real weather, satellite, road, and exposure features. It is not trained on verified official flood incident labels."
