facility_id,facility_name,facility_type,lon,lat,nearest_graph_node,snap_distance_m,reachable_on_graph,warning
FAC-001,قسم أول مدينة نصر,police,31.3411596,30.0687969,7650321625,33.46929350138801,True,
FAC-002,مركز الإيمان الطبي,hospital,31.3455818,30.0642054,6572806072,74.9312040678247,True,
FAC-003,Nasr City Emergency Fire_station,fire_station,31.3689579,30.0672492,8574595870,40.25420281879523,True,
FAC-004,Nasr City Emergency Hospital,hospital,31.3270141,30.062687,314508315,32.076385567964756,True,
FAC-005,مستشفى الميرغنى,hospital,31.3317412,30.0815072,272477919,19.013565643073598,True,
FAC-006,منظمه الصحه العالمية,hospital,31.3473432,30.0637093,8006886526,46.96887068310029,True,
FAC-007,عيادة د. احمد العساف,clinic,31.3392842,30.0464585,8120367557,20.288384206054637,True,
FAC-008,مستشفى العاملين بقطاع البترول,hospital,31.3465042,30.0646977,8279196059,42.126229696647336,True,
FAC-009,د. ممدوح لبيب,clinic,31.3238183,30.0724682,416915080,79.41617939178852,True,
FAC-010,جراج مترو,police,31.3305063,30.0603708,500094881,32.825033215492226,True,
FAC-011,Nasr City Emergency Clinic,clinic,31.3279802,30.0536604,6570522946,13.699835806248618,True,
FAC-012,مستشفي جمال ابو العزايم,hospital,31.330529,30.0559906,6279072231,39.93615334133871,True,
FAC-013,مستشفى الكبد د يس عبد الغفار الخيرية,hospital,31.346945,30.0648509,6572806062,21.038167131475976,True,
FAC-014,مركز طبي الحى الثامن,hospital,31.35774,30.0561602,7937296061,19.743018015491657,True,
FAC-015,ايجيكير,hospital,31.3603878,30.0597161,8544320242,19.375930918496216,True,
FAC-016,مركز طبي الحى الثامن,hospital,31.3576391,30.0553351,7937296083,30.13560260000797,True,
FAC-017,الجولف ميموريال,clinic,31.3372636,30.0790385,330077964,20.717464835311144,True,
FAC-018,Nasr City Emergency Hospital,hospital,31.3372837,30.0790241,330077964,23.193894028283545,True,
FAC-019,مركز نيروكير,clinic,31.3286219,30.0508411,6570644102,23.018297944189253,True,
FAC-020,دكتور أبو الفرج مصطفى الريس,doctors,31.3593619,30.0570773,6572704708,16.56488610677765,True,
FAC-021,مستشفى الابتسامة التخصصي.,doctors,31.3322762,30.0841935,272478186,24.43798281684438,True,
FAC-022,دكتورة جميلة محمد نصر، القلب و الأوعية الدموية,clinic,31.3417916,30.0798217,270422908,39.16881008861862,True,
FAC-023,عيادات سيمويا الايطالية للتجميل SIMOE Italian Beauty Clinics,clinic,31.339633,30.0754592,6572779503,86.8058484454764,True,
FAC-024,د. ملك نادر,clinic,31.352549,30.0556972,492464026,65.28857473678244,True,
FAC-025,مركز الدرة التخصصي للعيون,hospital,31.332632,30.0807161,272476167,31.680409655291037,True,
FAC-026,Nasr City Emergency Doctors,doctors,31.344548,30.0546825,2349735995,55.20836620548227,True,
FAC-027,Honesta Clinic,clinic,31.3465126,30.0551955,6574850841,32.054701233468315,True,
FAC-028,مستشفى عبدالقادر فهمي,hospital,31.3444783,30.0784848,8047371642,30.45191498646053,True,
FAC-029,مستشفى تبارك للولادة والأطفال,hospital,31.33408005,30.06672815,9848177532,25.925539318310534,True,
FAC-030,مستشفى العاملين بقطاع البترول,hospital,31.3465194,30.06463675,8279196059,46.03087733946607,True,
FAC-031,د. يس غبد الغقار لأمراض الكبد,hospital,31.346821332643536,30.0644855,6572806062,62.34627631594128,True,
FAC-032,حسبو الدولي,hospital,31.349160765426888,30.06811215,284142546,46.98304228825768,True,
FAC-033,مستشفى مدينة نصر التخصصى,hospital,31.326171413722374,30.06651835,6568207771,64.55406297620115,True,
FAC-034,Ahmed Mostafa Mahboub,doctors,31.3476177,30.060216,6572827963,78.40065341705458,True,
FAC-035,الزهراء,hospital,31.3316957,30.0603801,6570399002,29.65181138981796,True,
FAC-036,Nasr City First Police Station,police,31.34128365,30.0687397,7650321625,36.806424661404655,True,
FAC-037,مستشفي دار الحكمة,hospital,31.338049787240962,30.0658427,278876867,30.383515978458778,True,
FAC-038,مستشفى صفوة الجولف,hospital,31.335932837445302,30.08370105,272475252,25.687368229117084,True,
FAC-039,ام النور,hospital,31.33387715,30.0822412,1377897620,31.5139958176113,True,
FAC-040,برج معمل الفا لاب الطبى,hospital,31.378350657378334,30.04929315,8263676819,32.625084359382896,True,
FAC-041,نقطة شرطة رابعة العدوية,police,31.321816717056738,30.06901235,6510200165,27.18772750056586,True,
FAC-042,مستشفى التأمين الصحى,hospital,31.324980992998857,30.05953725,8010531615,103.2569444215128,True,
FAC-043,شركة تطبيق حكيمة لخدمات التمريض المنزلي,hospital,31.33173168216204,30.0641266,1927165533,28.715896120225004,True,
FAC-044,مستشفي الماسة,hospital,31.37919952782694,30.0532517,3946845344,29.284129449796996,True,
