zone_code,built_surface_mean,built_surface_sum,built_surface_max,built_surface_nres_mean,built_surface_nres_sum,builtup_source,builtup_warning
NSR-GRID-001,4113.756665050896,33281.098039215685,5946.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-002,3967.219512195121,19136.0,5492.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-003,4228.885271317829,10696.592156862744,6010.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-004,3238.604815864023,8966.490196078432,4832.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-005,4321.0,84.72549019607843,4321.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-006,4724.81881754609,87436.94117647059,6086.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-007,4016.3692242475627,74310.70588235295,5809.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-008,4123.742263671047,76297.31764705882,6051.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-009,4480.859050445105,82904.67843137257,5983.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-010,3743.5059871046965,47814.11372549019,5010.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-011,3686.9107358262972,47944.2980392157,4899.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-012,3582.309468822171,24331.60784313726,4601.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-013,3567.6044330775785,16410.98039215686,4518.0,73.24211423699916,336.9137254901961,ghsl_p2023a_2020,
NSR-GRID-014,1788.582278481013,7757.537254901961,2846.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-015,1105.1292705447831,4693.549019607844,2747.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-016,1905.1653846153847,1942.521568627451,2211.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-017,2504.6199213630402,7494.215686274509,3398.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-018,1457.4575971731444,3234.98431372549,2731.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-019,3433.8671875000005,8618.333333333334,4518.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-020,332.3292079207921,526.5137254901961,2307.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-021,1765.0,692.156862745098,2199.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-022,1744.4305555555557,492.5450980392157,1856.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-023,0.0,0.0,0.0,0.0,0.0,ghsl_partial_null_fallback,
NSR-GRID-024,3902.48866446826,74254.41176470589,5578.0,4.194558944765045,79.81176470588235,ghsl_p2023a_2020,
NSR-GRID-025,3728.202432488146,70923.56862745098,5645.0,130.26963512677796,2478.1882352941175,ghsl_p2023a_2020,
NSR-GRID-026,2655.42412371134,50505.12549019608,4967.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-027,4037.2133580705013,76802.04705882355,5127.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-028,4162.111592409241,79129.08627450981,5913.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-029,3624.8972984120433,68929.90980392156,5728.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-030,3616.79587628866,68790.03921568628,4517.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-031,2433.150484436199,46287.10980392157,4792.0,4.3104514533085965,82.0,ghsl_p2023a_2020,
NSR-GRID-032,3559.84948453608,67706.94117647057,4797.0,1.5573195876288655,29.619607843137256,ghsl_p2023a_2020,
NSR-GRID-033,749.6763553906409,14261.490196078432,3222.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-034,1759.1361386138615,33444.282352941176,4191.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-035,1071.2575257731958,20374.898039215685,4016.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-036,807.9177489177488,15369.447058823529,3260.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-037,1711.2685089709219,32540.945098039218,3839.0,18.994019385440293,361.18431372549014,ghsl_p2023a_2020,
NSR-GRID-038,2221.015336787564,42025.09411764706,4033.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-039,3059.1661415668977,57116.43137254902,4797.0,0.6275992438563326,11.717647058823529,ghsl_p2023a_2020,
NSR-GRID-040,2222.904604538445,39567.70196078432,4909.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-041,3928.723919625653,55972.760784313716,5747.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-042,1362.4311840562723,22787.329411764706,5799.0,942.8007033997657,15768.803921568628,ghsl_p2023a_2020,
NSR-GRID-043,2488.734235322542,40395.57254901961,4611.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-044,4015.499252988048,63240.17647058824,5433.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-045,879.0248599439775,9845.078431372547,4552.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-046,2642.0817645406005,36875.1725490196,4694.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-047,73.90860215053763,916.4666666666667,3716.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-048,2736.8980707395503,33379.42352941177,4800.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-049,331.4327354260089,4057.7764705882355,3716.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-050,2900.3167107001323,34439.839215686276,4694.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-051,181.66855295068711,881.2705882352941,991.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-052,3771.184901531728,27034.219607843133,5544.0,0.9950765864332602,7.133333333333333,ghsl_p2023a_2020,
NSR-GRID-053,37.33841528881254,681.9019607843137,991.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-054,4043.4755244755247,74828.08235294117,5870.0,54.901462174189454,1016.0,ghsl_p2023a_2020,
NSR-GRID-055,3357.04810341174,62125.137254901965,5110.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-056,2892.4255138800595,53526.8862745098,4967.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-057,3468.396906124178,64185.7450980392,5473.0,3.0801017164653524,57.0,ghsl_p2023a_2020,
NSR-GRID-058,3672.891101694916,67984.49411764707,5728.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-059,3353.898728813559,62080.00784313725,5728.0,159.95741525423725,2960.7803921568625,ghsl_p2023a_2020,
NSR-GRID-060,4080.953813559322,75537.65490196079,9537.0,1608.3146186440677,29769.58823529412,ghsl_p2023a_2020,
NSR-GRID-061,1067.032422123331,19746.37647058823,3211.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-062,2090.2027972027972,38681.047058823526,5270.0,13.988768806950626,258.87450980392157,ghsl_p2023a_2020,
NSR-GRID-063,1729.9730875185421,32014.678431372547,3969.0,0.45730027548209373,8.462745098039216,ghsl_p2023a_2020,
NSR-GRID-064,2138.1048728813557,39575.901960784315,6201.0,8.460381355932203,156.6,ghsl_p2023a_2020,
NSR-GRID-065,3902.349936413734,72201.12549019608,6201.0,36.99067401441288,684.4,ghsl_p2023a_2020,
NSR-GRID-066,835.2557203389829,15460.419607843136,4694.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-067,1198.8323797414703,22185.450980392154,5238.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-068,3930.615091140314,72724.0862745098,5290.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-069,2436.12653666808,45073.117647058825,5052.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-070,2078.7591689633246,38452.96862745098,5334.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-071,1380.7626112759644,25546.81568627451,5334.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-072,295.8667090485272,5475.274509803921,2201.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-073,266.23140495867773,4926.8470588235305,3123.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-074,86.8968220338983,1608.443137254902,2890.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-075,369.5777542372882,6840.811764705883,2890.0,0.5942796610169492,11.0,ghsl_p2023a_2020,
NSR-GRID-076,5.7850328598685605,107.01176470588237,147.0,0.0,0.0,ghsl_p2023a_2020,
