zone_code,tree_cover_ratio,grassland_ratio,builtup_landcover_ratio,bare_sparse_ratio,water_ratio,dominant_landcover_class,landcover_source,landcover_warning
NSR-GRID-001,0.03243537621743481,0.0,0.967564623782565,0.0,0.0,50,esa_worldcover_v200,
NSR-GRID-002,0.05859849103207445,0.0,0.9414015089679255,0.0,0.0,50,esa_worldcover_v200,
NSR-GRID-003,0.003491667921841411,0.0,0.9965083320781586,0.0,0.0,50,esa_worldcover_v200,
NSR-GRID-004,0.012716935966487137,0.0,0.9872830640335128,0.0,0.0,50,esa_worldcover_v200,
NSR-GRID-005,0.0,0.0,1.0,0.0,0.0,50,esa_worldcover_v200,
NSR-GRID-006,0.014791987673343557,0.0041602465331278754,0.9792839662829692,0.00037705066618326716,0.0,50,esa_worldcover_v200,
NSR-GRID-007,0.025260581890691452,0.0,0.9733581074956941,0.0,0.0,50,esa_worldcover_v200,
NSR-GRID-008,0.05813468684854509,0.0,0.9418653131514502,0.0,0.0,50,esa_worldcover_v200,
NSR-GRID-009,0.05535605085948304,0.0,0.9446439491405118,0.0,0.0,50,esa_worldcover_v200,
NSR-GRID-010,0.037531045901941076,0.03619065140544318,0.9013574779557667,0.01888904950260858,0.0,50,esa_worldcover_v200,
NSR-GRID-011,0.04543083771417965,0.0,0.9545691622858203,0.0,0.0,50,esa_worldcover_v200,
NSR-GRID-012,0.0,0.0,0.9898593039661389,0.01014069603386111,0.0,50,esa_worldcover_v200,
NSR-GRID-013,0.0,0.0,0.9890340660679601,0.01096593393203988,0.0,50,esa_worldcover_v200,
NSR-GRID-014,0.0,0.14147480301657278,0.33763650605925644,0.5044926044818532,0.0,59,esa_worldcover_v200,
NSR-GRID-015,0.0,0.08744662681468832,0.5609502367828586,0.3516031364024534,0.0,49,esa_worldcover_v200,
NSR-GRID-016,0.0,0.0,1.0,0.0,0.0,50,esa_worldcover_v200,
NSR-GRID-017,0.013263035590972368,0.05921232914250639,0.8698907169712051,0.0007453606778397693,0.0,50,esa_worldcover_v200,
NSR-GRID-018,0.0,0.14757380140712265,0.6023355334735621,0.24639152825125127,0.0,50,esa_worldcover_v200,
NSR-GRID-019,0.0,0.0,1.0,0.0,0.0,50,esa_worldcover_v200,
NSR-GRID-020,0.0,0.006882312456985543,0.5018385606135088,0.49127912692950554,0.0,50,esa_worldcover_v200,
NSR-GRID-021,0.0,0.0,1.0,0.0,0.0,50,esa_worldcover_v200,
NSR-GRID-022,0.0,0.0,1.0,0.0,0.0,50,esa_worldcover_v200,
