zone_code,population_sum,population_mean,population_source,population_warning,population_density_proxy
NSR-GRID-001,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-002,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-003,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-004,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-005,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-006,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-007,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-008,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-009,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-010,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-011,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-012,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-013,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-014,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-015,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-016,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-017,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-018,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-019,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-020,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-021,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-022,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-023,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-024,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-025,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-026,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-027,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-028,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-029,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-030,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-031,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-032,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-033,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-034,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-035,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-036,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-037,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-038,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-039,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-040,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-041,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-042,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-043,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-044,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-045,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-046,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-047,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-048,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-049,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-050,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-051,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-052,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-053,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-054,0.0,0.0,worldpop_100m,,0.0
