zone_code,zone_area_m2,zone_area_km2,road_count,road_length_m,road_density_m_per_km2,primary_road_count,secondary_road_count,tertiary_road_count,residential_road_count,service_road_count,unknown_road_count,avg_base_speed_kph,avg_base_travel_time_sec,intersection_proxy_count
NSR-GRID-001,107009.46844016502,0.10700946844016501,49,3266.9375210621474,30529.424813364763,0,0,0,0,0,49,25.04766931403103,10.087913884592572,25
NSR-GRID-002,63524.7553032876,0.0635247553032876,29,1793.113171189965,28226.998476878285,0,0,0,0,0,29,23.5,9.472057837540532,15
NSR-GRID-003,32752.61164646124,0.03275261164646124,4,222.34488847842866,6788.615542432688,0,0,0,0,0,4,23.5,8.515336154493012,3
NSR-GRID-004,36001.88432497364,0.036001884324973636,5,342.1216150567688,9502.880792810261,0,0,0,0,0,5,46.25073891625616,8.0242681245891,6
NSR-GRID-005,222.39283081796867,0.00022239283081796867,0,0.0,0.0,0,0,0,0,0,0,50.0,0.0,0
NSR-GRID-006,249999.99999906868,0.2499999999990687,68,6697.9917066530425,26791.966826711978,0,0,0,0,0,68,23.5,15.089343018742772,30
NSR-GRID-007,249999.99999883585,0.24999999999883585,90,5991.511325815853,23966.045303375013,0,0,0,0,0,90,34.45405947819741,8.137196421452938,51
NSR-GRID-008,249999.99999883585,0.24999999999883585,102,7656.922940909893,30627.691763782193,0,0,0,0,0,102,27.960929199265912,10.673787302798988,60
NSR-GRID-009,249861.9762376526,0.24986197623765258,106,7499.926780456009,30016.278960839412,0,0,0,0,0,106,29.881541035412216,9.793158000304063,53
NSR-GRID-010,172222.32035380253,0.17222232035380253,4,137.8728667836195,800.5516735599792,0,0,0,0,0,4,23.5,5.280237451287555,3
NSR-GRID-011,175292.39498564362,0.1752923949856436,66,5169.7006390404185,29491.870651113048,0,0,0,0,0,66,30.830521968453002,11.105717523728135,34
NSR-GRID-012,92270.11025503465,0.09227011025503465,6,433.2014612754163,4694.927318045326,0,0,0,0,0,6,36.13929939792009,10.06222229734843,6
NSR-GRID-013,62990.013203858885,0.06299001320385889,0,0.0,0.0,0,0,0,0,0,0,50.0,0.0,0
NSR-GRID-014,58765.20395012443,0.058765203950124426,1,52.893708361894355,900.0855064978016,0,0,0,0,0,1,61.417898193760266,3.100356015148774,2
NSR-GRID-015,58140.38513680349,0.05814038513680349,0,0.0,0.0,0,0,0,0,0,0,50.0,0.0,0
NSR-GRID-016,14133.448882657405,0.014133448882657405,1,31.404131616684996,2221.972278487508,0,0,0,0,0,1,61.417898193760266,1.8407480090478212,2
NSR-GRID-017,41101.14592178519,0.04110114592178519,0,0.0,0.0,0,0,0,0,0,0,50.0,0.0,0
NSR-GRID-018,31000.71799177103,0.03100071799177103,1,48.329717773509316,1558.9870462464182,0,0,0,0,0,1,61.417898193760266,2.8328384575411873,2
NSR-GRID-019,34989.0648634173,0.034989064863417296,0,0.0,0.0,0,0,0,0,0,0,50.0,0.0,0
NSR-GRID-020,22804.381647114446,0.022804381647114444,0,0.0,0.0,0,0,0,0,0,0,50.0,0.0,0
NSR-GRID-021,6029.341268914189,0.006029341268914188,0,0.0,0.0,0,0,0,0,0,0,50.0,0.0,0
NSR-GRID-022,4799.967152327217,0.004799967152327217,0,0.0,0.0,0,0,0,0,0,0,50.0,0.0,0
NSR-GRID-023,201.18721741787826,0.00020118721741787827,0,0.0,0.0,0,0,0,0,0,0,50.0,0.0,0
NSR-GRID-024,250000.00000093132,0.2500000000009313,26,3213.3489593986783,12853.395837546832,0,0,0,0,0,26,33.70866489832007,14.324102198678988,20
NSR-GRID-025,250000.00000116415,0.2500000000011642,21,2153.38412313426,8613.536492496929,0,0,0,0,0,21,54.19544139494879,7.220115942410773,19
NSR-GRID-026,250000.00000093132,0.2500000000009313,57,3634.907860372569,14539.631441436111,0,0,0,0,0,57,26.826131420505288,9.447561684336614,28
NSR-GRID-027,250000.00000093132,0.2500000000009313,30,3303.7210337898305,13214.884135110093,0,0,0,0,0,30,23.5,16.870064853394876,19
NSR-GRID-028,250000.0000006985,0.2500000000006985,102,6257.265534288359,25029.062137083507,0,0,0,0,0,102,31.49958144177211,8.551590287154637,51
NSR-GRID-029,250000.00000093132,0.2500000000009313,73,5354.134879327784,21416.539517231355,0,0,0,0,0,73,37.524428099062014,9.078613200902728,44
NSR-GRID-030,250000.00000093132,0.2500000000009313,37,2577.0404887478567,10308.161954953026,0,0,0,0,0,37,45.020969245107175,6.239402729293123,26
NSR-GRID-031,250000.00000116415,0.2500000000011642,11,1637.3926248276484,6549.570499280094,0,0,0,0,0,11,61.417898193760266,8.72504539723953,9
NSR-GRID-032,250000.00000093132,0.2500000000009313,0,0.0,0.0,0,0,0,0,0,0,50.0,0.0,0
NSR-GRID-033,250000.00000093132,0.2500000000009313,8,1356.3892777545946,5425.5571109981665,0,0,0,0,0,8,61.417898193760266,9.93806680039693,6
NSR-GRID-034,250000.00000093132,0.2500000000009313,0,0.0,0.0,0,0,0,0,0,0,50.0,0.0,0
NSR-GRID-035,250000.00000116415,0.2500000000011642,2,602.7653364288183,2411.0613457040454,0,0,0,0,0,2,61.417898193760266,17.665495522966314,4
NSR-GRID-036,250000.00000093132,0.2500000000009313,2,1469.2416308116733,5876.9665232248,0,0,0,0,0,2,61.417898193760266,43.05967825726887,4
NSR-GRID-037,250000.00000093132,0.2500000000009313,2,1249.8440532935124,4999.376213155426,0,0,0,0,0,2,61.417898193760266,36.629701798504094,4
NSR-GRID-038,249194.25055649967,0.24919425055649966,0,0.0,0.0,0,0,0,0,0,0,50.0,0.0,0
NSR-GRID-039,245968.64793792792,0.24596864793792791,5,755.1096022739234,3069.942484964511,0,0,0,0,0,5,73.70509031198688,7.590827761420071,7
NSR-GRID-040,235129.33038640767,0.23512933038640768,111,5267.410256164225,22402.182864672177,0,0,0,0,0,111,24.83902868385627,5.918547339511398,48
NSR-GRID-041,187939.62307205322,0.18793962307205322,22,2622.696247753921,13954.99365638516,0,0,0,0,0,22,26.947081653978206,17.886739949130526,17
NSR-GRID-042,220715.06558442605,0.22071506558442605,11,1744.1253412543665,7902.158090731774,0,0,0,0,0,11,40.73540826989103,14.359069570421667,10
NSR-GRID-043,214096.69416824396,0.21409669416824398,0,0.0,0.0,0,0,0,0,0,0,50.0,0.0,0
NSR-GRID-044,207662.24575367873,0.20766224575367873,364,10817.314821589796,52090.90743639985,0,0,0,0,0,364,23.5,4.552529034103725,131
NSR-GRID-045,147784.5702287196,0.1477845702287196,0,0.0,0.0,0,0,0,0,0,0,50.0,0.0,0
NSR-GRID-046,184003.634426618,0.184003634426618,0,0.0,0.0,0,0,0,0,0,0,50.0,0.0,0
NSR-GRID-047,163208.51403346236,0.16320851403346237,1,647.6642600420874,3968.323980385594,0,0,0,0,0,1,61.417898193760266,37.96273406810251,2
NSR-GRID-048,160382.11072337435,0.16038211072337435,8,1796.806327454491,11203.283953243432,0,0,0,0,0,8,61.417898193760266,13.164938415894321,8
NSR-GRID-049,160951.8689997111,0.1609518689997111,2,381.14058656171375,2368.040762312601,0,0,0,0,0,2,61.417898193760266,11.170246393758621,3
NSR-GRID-050,156038.13409619033,0.15603813409619033,0,0.0,0.0,0,0,0,0,0,0,50.0,0.0,0
NSR-GRID-051,66690.49469000674,0.06669049469000675,0,0.0,0.0,0,0,0,0,0,0,50.0,0.0,0
NSR-GRID-052,97945.67297601212,0.09794567297601213,23,1873.5341324666501,19128.299143194385,0,0,0,0,0,23,25.148604269293923,12.413438691346604,14
NSR-GRID-053,246768.39033576226,0.24676839033576226,2,1514.9686366327096,6139.232964851725,0,0,0,0,0,2,61.417898193760266,44.39981871955234,2
NSR-GRID-054,250000.00000023283,0.2500000000002328,65,5754.720763074051,23018.88305227477,0,0,0,0,0,65,32.25028419856006,11.794723332233753,40
NSR-GRID-055,250000.00000046566,0.2500000000004657,11,1428.123636642318,5712.494546558631,0,0,0,0,0,11,47.62957157784744,11.55832410626252,11
NSR-GRID-056,250000.00000023283,0.2500000000002328,27,2766.8932619503653,11067.573047791155,0,0,0,0,0,27,55.80043179468467,8.414743300456195,22
NSR-GRID-057,250000.00000023283,0.2500000000002328,23,2572.9370794585648,10291.748317824675,0,0,0,0,0,23,38.337438423645324,14.32271686757963,12
NSR-GRID-058,250000.0,0.25,30,3462.623660326298,13850.494641305191,0,0,0,0,0,30,54.69299397920088,11.025294910922195,21
NSR-GRID-059,250000.00000023283,0.2500000000002328,57,4213.414177477627,16853.656709894814,0,0,0,0,0,57,54.76563535274969,4.9597685844534904,41
NSR-GRID-060,250000.00000023283,0.2500000000002328,23,1795.6005200078196,7182.40208002459,0,0,0,0,0,23,54.82348111658457,4.733977450411869,20
NSR-GRID-061,250000.00000046566,0.2500000000004657,10,1743.7520762816132,6975.008305113461,0,0,0,0,0,10,57.62610837438424,10.68519848687879,11
NSR-GRID-062,250000.00000023283,0.2500000000002328,2,541.6794026460169,2166.71761058205,0,0,0,0,0,2,81.89655172413794,11.90554308131456,4
NSR-GRID-063,250000.00000023283,0.2500000000002328,16,2234.6507826863935,8938.60313073725,0,0,0,0,0,16,65.25764573070607,7.085669915909873,15
NSR-GRID-064,250000.0,0.25,21,1716.5226825551956,6866.0907302207825,0,0,0,0,0,21,54.19544139494879,5.60359634725239,17
NSR-GRID-065,250000.00000023283,0.2500000000002328,108,6148.3002432777885,24593.200973088253,0,0,0,0,0,108,34.03274949826674,7.0266478005247635,57
NSR-GRID-066,250000.00000023283,0.2500000000002328,8,1333.3070753129512,5333.228301246838,0,0,0,0,0,8,61.417898193760266,9.768946862981117,8
NSR-GRID-067,250000.00000046566,0.2500000000004657,29,1961.7121654719788,7846.848661873299,0,0,0,0,0,29,61.417898193760266,3.9650150309377885,22
NSR-GRID-068,250000.00000023283,0.2500000000002328,366,13318.642352091923,53274.56940831808,0,0,0,0,0,366,23.914403258948198,5.4483974205361765,139
NSR-GRID-069,250000.00000023283,0.2500000000002328,230,8821.177962032558,35284.71184809737,0,0,0,0,0,230,24.944099378881987,5.699059959074213,103
NSR-GRID-070,250000.0,0.25,2,836.7844206680079,3347.1376826720316,0,0,0,0,0,2,61.417898193760266,24.523990587412143,4
NSR-GRID-071,250000.00000023283,0.2500000000002328,20,2688.1314535375554,10752.525814140208,0,0,0,0,0,20,61.417898193760266,7.878219148924214,16
NSR-GRID-072,250000.00000023283,0.2500000000002328,4,901.8573678919796,3607.429471564559,0,0,0,0,0,4,61.417898193760266,13.215555318127821,6
NSR-GRID-073,250000.00000046566,0.2500000000004657,19,2686.724245670421,10746.896982661667,0,0,0,0,0,19,53.43518278454758,8.674518391649263,18
NSR-GRID-074,250000.00000023283,0.2500000000002328,4,1450.5559177819346,5802.223671122335,0,0,0,0,0,4,61.417898193760266,21.25602412972792,7
NSR-GRID-075,250000.00000023283,0.2500000000002328,9,2291.1969952178606,9164.787980862908,0,0,0,0,0,9,61.417898193760266,14.922014999534023,10
NSR-GRID-076,250000.0,0.25,18,3577.6836108233747,14310.734443293499,0,0,0,0,0,18,52.99169859514687,15.767668308684456,20
NSR-GRID-077,250000.00000023283,0.2500000000002328,14,1338.5168108830017,5354.067243527021,0,0,0,0,0,14,28.91684259910861,11.328296798130566,9
NSR-GRID-078,976.081983192798,0.0009760819831927981,0,0.0,0.0,0,0,0,0,0,0,50.0,0.0,0
NSR-GRID-079,107224.3933673024,0.1072243933673024,5,1315.7236995747435,12270.749763700389,0,0,0,0,0,5,78.5671592775041,13.758200346744683,6
NSR-GRID-080,194320.70538382785,0.19432070538382784,40,3451.211949257369,17760.39224662362,0,0,0,0,0,40,30.135632183908047,12.07376156464036,24
NSR-GRID-081,249426.70827624356,0.24942670827624355,14,4153.238515770571,16651.137901282014,0,0,0,0,0,14,61.417898193760266,17.38867088827707,14
NSR-GRID-082,250000.00000046566,0.2500000000004657,39,3411.667100915909,13646.668403638216,0,0,0,0,0,39,47.80634499600017,8.791670328764841,29
NSR-GRID-083,250000.00000023283,0.2500000000002328,22,1627.1094524249288,6508.437809693654,0,0,0,0,0,22,61.417898193760266,4.335125132305817,16
NSR-GRID-084,250000.00000023283,0.2500000000002328,7,785.256326082745,3141.025304328055,0,0,0,0,0,7,48.52709359605912,13.354592960319712,8
NSR-GRID-085,250000.0,0.25,48,5706.2429779084005,22824.971911633602,0,0,0,0,0,48,57.47235905856596,10.843011559698638,34
NSR-GRID-086,250000.00000023283,0.2500000000002328,83,4750.455060504004,19001.82024199832,0,0,0,0,0,83,47.19215779373653,5.092939007006717,54
NSR-GRID-087,250000.00000023283,0.2500000000002328,59,4936.420568568396,19745.682274255196,0,0,0,0,0,59,47.784113996270634,7.309929978173958,45
NSR-GRID-088,250000.00000046566,0.2500000000004657,60,7149.9309361829055,28599.723744678347,0,0,0,0,0,60,38.531869184455395,12.326096636390153,46
NSR-GRID-089,250000.00000023283,0.2500000000002328,31,2236.8760151285796,8947.504060505986,0,0,0,0,0,31,48.42767095714816,7.314774596412377,24
