zone_code,scenario_id,scenario_name,rain_1h_mm,rain_3h_mm,rain_6h_mm,rain_24h_mm,temperature_2m,apparent_temperature,relative_humidity_2m,wind_speed_10m,hour,is_rush_hour
NSR-GRID-001,normal_day,Normal Dry Day,0.0,0.0,0.0,0.0,30.0,31.0,45.0,12.0,12,False
NSR-GRID-001,light_rain,Light Rain,2.0,4.0,5.0,7.0,25.0,25.5,65.0,15.0,9,True
NSR-GRID-001,heavy_rain_rush_hour,Heavy Rain During Rush Hour,12.0,24.0,32.0,40.0,23.0,23.5,80.0,22.0,17,True
NSR-GRID-001,extreme_rain,Extreme Rain Event,25.0,50.0,70.0,90.0,22.0,22.5,88.0,30.0,18,True
NSR-GRID-001,hot_day_optional,Hot Urban Heat Day,0.0,0.0,0.0,0.0,40.0,43.0,35.0,10.0,14,False
NSR-GRID-002,normal_day,Normal Dry Day,0.0,0.0,0.0,0.0,30.0,31.0,45.0,12.0,12,False
NSR-GRID-002,light_rain,Light Rain,2.0,4.0,5.0,7.0,25.0,25.5,65.0,15.0,9,True
NSR-GRID-002,heavy_rain_rush_hour,Heavy Rain During Rush Hour,12.0,24.0,32.0,40.0,23.0,23.5,80.0,22.0,17,True
NSR-GRID-002,extreme_rain,Extreme Rain Event,25.0,50.0,70.0,90.0,22.0,22.5,88.0,30.0,18,True
NSR-GRID-002,hot_day_optional,Hot Urban Heat Day,0.0,0.0,0.0,0.0,40.0,43.0,35.0,10.0,14,False
NSR-GRID-003,normal_day,Normal Dry Day,0.0,0.0,0.0,0.0,30.0,31.0,45.0,12.0,12,False
NSR-GRID-003,light_rain,Light Rain,2.0,4.0,5.0,7.0,25.0,25.5,65.0,15.0,9,True
NSR-GRID-003,heavy_rain_rush_hour,Heavy Rain During Rush Hour,12.0,24.0,32.0,40.0,23.0,23.5,80.0,22.0,17,True
NSR-GRID-003,extreme_rain,Extreme Rain Event,25.0,50.0,70.0,90.0,22.0,22.5,88.0,30.0,18,True
NSR-GRID-003,hot_day_optional,Hot Urban Heat Day,0.0,0.0,0.0,0.0,40.0,43.0,35.0,10.0,14,False
NSR-GRID-004,normal_day,Normal Dry Day,0.0,0.0,0.0,0.0,30.0,31.0,45.0,12.0,12,False
NSR-GRID-004,light_rain,Light Rain,2.0,4.0,5.0,7.0,25.0,25.5,65.0,15.0,9,True
NSR-GRID-004,heavy_rain_rush_hour,Heavy Rain During Rush Hour,12.0,24.0,32.0,40.0,23.0,23.5,80.0,22.0,17,True
NSR-GRID-004,extreme_rain,Extreme Rain Event,25.0,50.0,70.0,90.0,22.0,22.5,88.0,30.0,18,True
NSR-GRID-004,hot_day_optional,Hot Urban Heat Day,0.0,0.0,0.0,0.0,40.0,43.0,35.0,10.0,14,False
NSR-GRID-005,normal_day,Normal Dry Day,0.0,0.0,0.0,0.0,30.0,31.0,45.0,12.0,12,False
NSR-GRID-005,light_rain,Light Rain,2.0,4.0,5.0,7.0,25.0,25.5,65.0,15.0,9,True
NSR-GRID-005,heavy_rain_rush_hour,Heavy Rain During Rush Hour,12.0,24.0,32.0,40.0,23.0,23.5,80.0,22.0,17,True
NSR-GRID-005,extreme_rain,Extreme Rain Event,25.0,50.0,70.0,90.0,22.0,22.5,88.0,30.0,18,True
NSR-GRID-005,hot_day_optional,Hot Urban Heat Day,0.0,0.0,0.0,0.0,40.0,43.0,35.0,10.0,14,False
NSR-GRID-006,normal_day,Normal Dry Day,0.0,0.0,0.0,0.0,30.0,31.0,45.0,12.0,12,False
NSR-GRID-006,light_rain,Light Rain,2.0,4.0,5.0,7.0,25.0,25.5,65.0,15.0,9,True
NSR-GRID-006,heavy_rain_rush_hour,Heavy Rain During Rush Hour,12.0,24.0,32.0,40.0,23.0,23.5,80.0,22.0,17,True
NSR-GRID-006,extreme_rain,Extreme Rain Event,25.0,50.0,70.0,90.0,22.0,22.5,88.0,30.0,18,True
NSR-GRID-006,hot_day_optional,Hot Urban Heat Day,0.0,0.0,0.0,0.0,40.0,43.0,35.0,10.0,14,False
NSR-GRID-007,normal_day,Normal Dry Day,0.0,0.0,0.0,0.0,30.0,31.0,45.0,12.0,12,False
NSR-GRID-007,light_rain,Light Rain,2.0,4.0,5.0,7.0,25.0,25.5,65.0,15.0,9,True
NSR-GRID-007,heavy_rain_rush_hour,Heavy Rain During Rush Hour,12.0,24.0,32.0,40.0,23.0,23.5,80.0,22.0,17,True
NSR-GRID-007,extreme_rain,Extreme Rain Event,25.0,50.0,70.0,90.0,22.0,22.5,88.0,30.0,18,True
NSR-GRID-007,hot_day_optional,Hot Urban Heat Day,0.0,0.0,0.0,0.0,40.0,43.0,35.0,10.0,14,False
NSR-GRID-008,normal_day,Normal Dry Day,0.0,0.0,0.0,0.0,30.0,31.0,45.0,12.0,12,False
NSR-GRID-008,light_rain,Light Rain,2.0,4.0,5.0,7.0,25.0,25.5,65.0,15.0,9,True
NSR-GRID-008,heavy_rain_rush_hour,Heavy Rain During Rush Hour,12.0,24.0,32.0,40.0,23.0,23.5,80.0,22.0,17,True
NSR-GRID-008,extreme_rain,Extreme Rain Event,25.0,50.0,70.0,90.0,22.0,22.5,88.0,30.0,18,True
NSR-GRID-008,hot_day_optional,Hot Urban Heat Day,0.0,0.0,0.0,0.0,40.0,43.0,35.0,10.0,14,False
NSR-GRID-009,normal_day,Normal Dry Day,0.0,0.0,0.0,0.0,30.0,31.0,45.0,12.0,12,False
NSR-GRID-009,light_rain,Light Rain,2.0,4.0,5.0,7.0,25.0,25.5,65.0,15.0,9,True
NSR-GRID-009,heavy_rain_rush_hour,Heavy Rain During Rush Hour,12.0,24.0,32.0,40.0,23.0,23.5,80.0,22.0,17,True
NSR-GRID-009,extreme_rain,Extreme Rain Event,25.0,50.0,70.0,90.0,22.0,22.5,88.0,30.0,18,True
NSR-GRID-009,hot_day_optional,Hot Urban Heat Day,0.0,0.0,0.0,0.0,40.0,43.0,35.0,10.0,14,False
NSR-GRID-010,normal_day,Normal Dry Day,0.0,0.0,0.0,0.0,30.0,31.0,45.0,12.0,12,False
NSR-GRID-010,light_rain,Light Rain,2.0,4.0,5.0,7.0,25.0,25.5,65.0,15.0,9,True
NSR-GRID-010,heavy_rain_rush_hour,Heavy Rain During Rush Hour,12.0,24.0,32.0,40.0,23.0,23.5,80.0,22.0,17,True
NSR-GRID-010,extreme_rain,Extreme Rain Event,25.0,50.0,70.0,90.0,22.0,22.5,88.0,30.0,18,True
NSR-GRID-010,hot_day_optional,Hot Urban Heat Day,0.0,0.0,0.0,0.0,40.0,43.0,35.0,10.0,14,False
NSR-GRID-011,normal_day,Normal Dry Day,0.0,0.0,0.0,0.0,30.0,31.0,45.0,12.0,12,False
NSR-GRID-011,light_rain,Light Rain,2.0,4.0,5.0,7.0,25.0,25.5,65.0,15.0,9,True
NSR-GRID-011,heavy_rain_rush_hour,Heavy Rain During Rush Hour,12.0,24.0,32.0,40.0,23.0,23.5,80.0,22.0,17,True
NSR-GRID-011,extreme_rain,Extreme Rain Event,25.0,50.0,70.0,90.0,22.0,22.5,88.0,30.0,18,True
NSR-GRID-011,hot_day_optional,Hot Urban Heat Day,0.0,0.0,0.0,0.0,40.0,43.0,35.0,10.0,14,False
NSR-GRID-012,normal_day,Normal Dry Day,0.0,0.0,0.0,0.0,30.0,31.0,45.0,12.0,12,False
